"","ps_id","const230_h","c230_id_h","fid0725","npp2008ps_pres_p","ndc2008ps_pres_p","totalvotes2008ps_pres","akan_p","akan_p_poly","ewe_p_poly","moledagbon_p_poly","gadangbe_p_poly","guan_p_poly","gurma_p_poly","mande_p_poly","other_eth_p_poly","grusi_p_poly","otherethn_p_poly","english_percent","public_semipublic_p","dev_factor2","akan_30km_l_p","ewe_30km_l_p","akan_30km_lalt_p","akan_20km_l_p","ewe_20km_l_p","akan_40km_l_p","ewe_40km_l_p","h_30rad_e","ethfrac_30km_l","ethfrac_poly","area_sqkm","sex_total"
"1472",11472,"TECHIMAN NORTH",222,689,0.5182609,0.453913,575,0.6701517,0.9583893,0.0013423,0.0328859,0.0040268,0,0,0.0020134,0.0013423,0,0.00335570469798658,0.5538991,0.0384615,1.682154,0.6992621,0.0113827,0.6868277,0.7060259,0.0116186,0.6922901,0.01196,0.025928,0.4728183,0.0803847,2.643644,1524
"1473",11473,"TECHIMAN NORTH",222,680,0.5691824,0.3962264,318,0.6701517,0.6083953,0.0005313,0.3411265,0.0058448,0.0037194,0.0026567,0.0021254,0.0058448,0.0297556,0.0441020191285866,0.4541485,0.0284302,0.6343579,0.657028,0.0086847,0.6610411,0.6462412,0.0085479,0.6436155,0.009347,0.025727,0.5090888,0.5125085,1.920577,1966
"1474",11474,"TECHIMAN NORTH",222,631,0.4235294,0.5529412,85,0.6701517,0.8193421,0.0073701,0.1488405,0.0084487,0.0023369,0.0005393,0.0030559,0.0005393,0.0095272,0.0159985619270178,0.5299068,0.034407,2.111088,0.6859592,0.0093206,0.6568921,0.701865,0.0088982,0.6728384,0.0092847,0.0467334,0.4753504,0.3062932,1.516383,5657
"1475",11475,"TECHIMAN NORTH",222,9575,0.5302594,0.4418828,1041,0.6701517,0.8890728,0,0.089404,0.0066225,0,0,0,0,0.0149007,0.0149006622516556,0.483965,0.0096463,-0.4825754,0.6821491,0.0111161,0.6772847,0.6812268,0.0112597,0.6719501,0.0120301,0.0292458,0.4913585,0.2012905,30.89631,624
"1476",11476,"TECHIMAN NORTH",222,685,0.3505654,0.6106623,619,0.6701517,0.8342378,0.0031574,0.1024174,0.0059201,0.0057227,0.0132215,0.0078934,0.0028614,0.0245683,0.0542673902318698,0.4603904,0.0354292,4.271012,0.7365311,0.0082172,0.7103977,0.742245,0.0077084,0.725748,0.0087776,0.027459,0.4276741,0.2926313,6.215094,10409
"1477",11477,"TECHIMAN NORTH",222,9575,0.4927255,0.4810863,1031,0.6701517,0.8890728,0,0.089404,0.0066225,0,0,0,0,0.0149007,0.0149006622516556,0.483965,0.0096463,-0.4825754,0.6821491,0.0111161,0.6772847,0.6812268,0.0112597,0.6719501,0.0120301,0.0292458,0.4913585,0.2012905,30.89631,624
"1478",11478,"TECHIMAN NORTH",222,689,0.5342466,0.4246575,438,0.6701517,0.9583893,0.0013423,0.0328859,0.0040268,0,0,0.0020134,0.0013423,0,0.00335570469798658,0.5538991,0.0384615,1.682154,0.6992621,0.0113827,0.6868277,0.7060259,0.0116186,0.6922901,0.01196,0.025928,0.4728183,0.0803847,2.643644,1524
"1479",11479,"TECHIMAN NORTH",222,685,0.2818792,0.6684564,745,0.6701517,0.8342378,0.0031574,0.1024174,0.0059201,0.0057227,0.0132215,0.0078934,0.0028614,0.0245683,0.0542673902318698,0.4603904,0.0354292,4.271012,0.7365311,0.0082172,0.7103977,0.742245,0.0077084,0.725748,0.0087776,0.027459,0.4276741,0.2926313,6.215094,10409
"1480",11480,"TECHIMAN SOUTH",223,714,0.4848485,0.4978355,231,0.6186739,0.775992,0.0080362,0.1180311,0.0145655,0.0070316,0.0010045,0.0005023,0.0487192,0.0261175,0.083375188347564,0.5004143,0.0303318,1.943831,0.6852807,0.013907,0.6797693,0.6840401,0.013734,0.67298,0.0149599,0.0243631,0.4901485,0.380522,0.457189,2110
"1481",11481,"TECHIMAN SOUTH",223,704,0.6351575,0.3474295,1206,0.6186739,0.6909225,0.0183476,0.1538403,0.0099666,0.0317874,0.0065123,0.0210091,0.014478,0.0531363,0.126923004322631,0.6177239,0.0767263,4.927363,0.6834328,0.0173695,0.6789809,0.6836873,0.0175241,0.6816272,0.0173835,0.0269498,0.5004137,0.493996,25.31661,56187
"1482",11482,"TECHIMAN SOUTH",223,704,0.6355662,0.3492823,1254,0.6186739,0.6909225,0.0183476,0.1538403,0.0099666,0.0317874,0.0065123,0.0210091,0.014478,0.0531363,0.126923004322631,0.6177239,0.0767263,4.927363,0.6834328,0.0173695,0.6789809,0.6836873,0.0175241,0.6816272,0.0173835,0.0269498,0.5004137,0.493996,25.31661,56187
"1483",11483,"TECHIMAN SOUTH",223,704,0.6510204,0.3285714,490,0.6186739,0.6909225,0.0183476,0.1538403,0.0099666,0.0317874,0.0065123,0.0210091,0.014478,0.0531363,0.126923004322631,0.6177239,0.0767263,4.927363,0.6834328,0.0173695,0.6789809,0.6836873,0.0175241,0.6816272,0.0173835,0.0269498,0.5004137,0.493996,25.31661,56187
"1484",11484,"TECHIMAN SOUTH",223,714,0.6317568,0.3412162,296,0.6186739,0.775992,0.0080362,0.1180311,0.0145655,0.0070316,0.0010045,0.0005023,0.0487192,0.0261175,0.083375188347564,0.5004143,0.0303318,1.943831,0.6852807,0.013907,0.6797693,0.6840401,0.013734,0.67298,0.0149599,0.0243631,0.4901485,0.380522,0.457189,2110
"1485",11485,"TECHIMAN SOUTH",223,9924,0.4477612,0.5373135,469,0.6186739,0.4869186,0.0247093,0.3241279,0.0014535,0.0014535,0.0014535,0.0116279,0.1337209,0.0145349,0.162790697674419,0.3837209,0.0098814,-0.4825754,0.6435386,0.0194859,0.6496751,0.6304728,0.0188517,0.6605186,0.0206846,0.0283973,0.5299097,0.6390067,21.12723,714
"1486",11486,"TECHIMAN SOUTH",223,9619,0.4639831,0.5063559,472,0.6186739,0.6440489,0.0011123,0.2625139,0,0,0.0122358,0.0011123,0.0111235,0.0678532,0.0923248053392658,0.4704725,0.026455,0.2265423,0.657447,0.0147911,0.6586194,0.650752,0.0141039,0.652641,0.0150228,0.0233988,0.5166242,0.5114074,0.337801,906
"1487",11487,"TECHIMAN SOUTH",223,700,0.2604017,0.6944046,1394,0.6186739,0.5038905,0.0174333,0.2075249,0.0052201,0.0729834,0.0085689,0.0227519,0.0187137,0.1429134,0.265931251846745,0.4933395,0.050259,2.080209,0.6176439,0.0153055,0.640101,0.6107501,0.0156161,0.6185827,0.0154022,0.0282719,0.5699306,0.6760045,2.139823,10599
"1488",11488,"TECHIMAN SOUTH",223,704,0.6217822,0.3643564,505,0.6186739,0.6909225,0.0183476,0.1538403,0.0099666,0.0317874,0.0065123,0.0210091,0.014478,0.0531363,0.126923004322631,0.6177239,0.0767263,4.927363,0.6834328,0.0173695,0.6789809,0.6836873,0.0175241,0.6816272,0.0173835,0.0269498,0.5004137,0.493996,25.31661,56187
"1489",11489,"TECHIMAN SOUTH",223,745,0.5649717,0.4030132,531,0.6186739,0.7078758,0.0096245,0.2334282,0.0051511,0.00732,0.0178935,0.0014911,0.0029822,0.0142334,0.043920292801952,0.4760338,0.0574053,3.762506,0.6756668,0.01534,0.6672328,0.6822119,0.0147487,0.6839039,0.01702,0.0265883,0.490073,0.4437164,3.33235,7757
"1490",11490,"TECHIMAN SOUTH",223,745,0.3512133,0.6091954,783,0.6186739,0.7078758,0.0096245,0.2334282,0.0051511,0.00732,0.0178935,0.0014911,0.0029822,0.0142334,0.043920292801952,0.4760338,0.0574053,3.762506,0.6756668,0.01534,0.6672328,0.6822119,0.0147487,0.6839039,0.01702,0.0265883,0.490073,0.4437164,3.33235,7757
"1491",11491,"TECHIMAN SOUTH",223,9925,NA,NA,NA,0.6186739,0.6796537,0.008658,0.1677489,0.0124459,0.0054113,0.0178571,0.0211039,0.0622294,0.0248918,0.131493506493506,0.4717949,0.0309598,-0.072506,0.6558222,0.0169258,0.6554425,0.6479408,0.0154688,0.6658311,0.0189358,0.0248543,0.5188128,0.5044157,4.160679,2027
"1492",11492,"TECHIMAN SOUTH",223,10148,0.5678392,0.4045226,398,0.6186739,0.0285326,0.0815217,0.625,0,0.0013587,0.2038043,0.0339674,0.0081522,0.017663,0.264945652173913,0.1966292,0.0034965,-0.3740652,0.6187159,0.0237636,0.6374784,0.6062473,0.025301,0.6491602,0.0240242,0.0283906,0.5529182,0.5588448,23.75269,737
"1493",11493,"TECHIMAN SOUTH",223,701,0.4947369,0.4578947,380,0.6186739,0.8044882,0.00034,0.1346481,0.0010201,0.0105406,0.0023801,0.0017001,0.0098606,0.0350221,0.0595035702142129,0.5148842,0.0347594,-0.211821,0.6808149,0.0094486,0.6684428,0.6887298,0.0085368,0.6689533,0.0104507,0.0294921,0.4902131,0.3332239,3.294543,2982
"1494",11494,"TECHIMAN SOUTH",223,9608,0.3733766,0.5909091,308,0.6186739,0.7445127,0,0.2256365,0,0.000878,0.0079017,0,0.000878,0.0201932,0.0298507462686567,0.4323432,0.0183276,-0.3497275,0.6741349,0.0127056,0.6702316,0.682076,0.0117152,0.6767151,0.0157615,0.0264321,0.4950316,0.3943172,0.234887,1151
